P20_001,名称,所在地,種別,P20_005,P20_006,P20_007,P20_008,P20_009,P20_010,P20_011,P20_012,レベル,備考,緯度,経度,NO
13104,愛日小学校,東京都新宿区北町26,避難所、一時避難所,-1,-1,0,0,0,0,0,1,1,,35.699734,139.734046,145
13104,花園小学校,東京都新宿区新宿1-22-1,一時避難所、避難所,-1,-1,0,0,0,0,0,1,1,,35.689652,139.713548,147
13104,学習院女子大学、学習院女子中・高等科,東京都新宿区戸山3-20-1,一時避難所,-1,-1,0,0,0,0,0,1,1,,35.706879,139.713567,149
13104,牛込第一中学校,東京都新宿区北山伏町4-1,一時避難所、避難所,-1,-1,0,0,0,0,0,1,1,,35.700345,139.730435,150
13104,牛込第三中学校,東京都新宿区市谷加賀町1-3-1,一時避難所、避難所,-1,-1,0,0,0,0,0,1,1,,35.697679,139.731685,151
13104,牛込第二中学校,東京都新宿区喜久井町20,一時避難所、避難所,-1,-1,0,0,0,0,0,1,1,,35.704484,139.723102,152
13104,牛込仲之小学校,東京都新宿区市谷仲之町4-33,一時避難所、避難所,-1,-1,0,0,0,0,0,1,1,,35.695846,139.723686,153
13104,戸山小学校,東京都新宿区百人町2-1-38,一時避難所,-1,-1,0,0,0,0,0,1,1,,35.704261,139.702021,156
13104,戸塚第一小学校,東京都新宿区西早稲田3-10-12,一時避難所、避難所,-1,-1,0,0,0,0,0,1,1,,35.711219,139.714689,158
13104,戸塚第三小学校,東京都新宿区高田馬場3-18-21,一時避難所,-1,-1,0,0,0,0,0,1,1,,35.714843,139.697604,160
13104,戸塚第二小学校,東京都新宿区高田馬場1-25-21,避難所、一時避難所,-1,-1,0,0,0,0,0,1,1,,35.712593,139.705881,161
13104,江戸川小学校,東京都新宿区水道町1-28,一時避難所,-1,-1,0,0,0,0,0,1,1,,35.707095,139.736351,163
13104,四谷ひろば,東京都新宿区四谷4-20,一時避難所、避難所,-1,-1,0,0,0,0,0,1,3,,35.6895193093,139.717845058,166
13104,四谷小学校,東京都新宿区四谷2-6,一時避難所、避難所,-1,-1,0,0,0,0,0,1,3,,35.68665,139.724953,167
13104,四谷第六小学校,東京都新宿区大京町30,一時避難所、避難所,-1,-1,0,0,0,0,0,1,1,,35.681653,139.71566,168
13104,四谷中学校,東京都新宿区四谷1-12,避難所、一時避難所,-1,-1,0,0,0,0,0,1,1,,35.684486,139.728519,170
13104,市谷小学校,東京都新宿区市谷山伏町1-3,一時避難所,-1,-1,0,0,0,0,0,1,1,,35.699818,139.728741,172
13104,新宿西戸山中学校,東京都新宿区百人町4-3-1,一時避難所、避難所,-1,-1,0,0,0,0,0,1,1,,35.7085379991,139.700799,175
13104,新宿中学校,東京都新宿区新宿6-15-22,一時避難所、避難所,-1,-1,0,0,0,0,0,1,4,,35.6957382053,139.710696249,176
13104,成城学校,東京都新宿区原町3-87,一時避難所,-1,-1,0,0,0,0,0,1,1,,35.6985949991,139.723103,178
13104,西戸山小学校,東京都新宿区百人町4-2-1,一時避難所、避難所,-1,-1,0,0,0,0,0,1,1,,35.708094,139.699604,179
13104,西新宿小学校,東京都新宿区西新宿4-35-5,避難所、一時避難所,-1,-1,0,0,0,0,0,1,1,,35.686374,139.687662,182
13104,西新宿中学校,東京都新宿区西新宿8-2-44,一時避難所、避難所,-1,-1,0,0,0,0,0,1,1,,35.695942,139.694819,183
13104,西早稲田中学校,東京都新宿区戸山3-20-2,一時避難所、避難所,-1,-1,0,0,0,0,0,1,1,,35.707703,139.709758,184
13104,早稲田小学校,東京都新宿区早稲田南町25,一時避難所,-1,-1,0,0,0,0,0,1,1,,35.703956,139.723436,186
13104,早稲田大学（戸山キャンパス）,東京都新宿区戸山1-24-1,避難所、一時避難所,-1,-1,0,0,0,0,0,1,1,,35.70523,139.718156,187
13104,早稲田大学（早稲田キャンパス）,東京都新宿区西早稲田1-6-1,避難所、一時避難所,-1,-1,0,0,0,0,0,1,1,,35.709761,139.718741,188
13104,大久保小学校,東京都新宿区大久保1-1-21,避難所、一時避難所,-1,-1,0,0,0,0,0,1,1,,35.69965,139.70591,192
13104,津久戸小学校,東京都新宿区津久戸町2-2,一時避難所、避難所,-1,-1,0,0,0,0,0,1,1,,35.702957,139.742017,199
13104,鶴巻小学校,東京都新宿区早稲田鶴巻町140,一時避難所,-1,-1,0,0,0,0,0,1,1,,35.708594,139.725019,201
13104,天神小学校,東京都新宿区新宿6-14-2,一時避難所,-1,-1,0,0,0,0,0,1,1,,35.695623,139.710021,203
13104,都立戸山高等学校,東京都新宿区戸山3-19-1,一時避難所,-1,-1,0,0,0,0,0,1,1,,35.707122,139.710853,204
13104,都立新宿高等学校,東京都新宿区内藤町8,一時避難所,-1,-1,0,0,0,0,0,1,1,,35.688478,139.705121,205
13104,都立新宿山吹高等学校,東京都新宿区山吹町81,一時避難所,-1,-1,0,0,0,0,0,1,1,,35.706984,139.728352,206
13104,東京医科大学,東京都新宿区新宿6-1-1,一時避難所,-1,-1,0,0,0,0,0,1,1,,35.693679,139.712048,207
13104,東京富士大学（高田記念館）,東京都新宿区下落合1-7-7,一時避難所,-1,-1,0,0,0,0,0,1,3,,35.715332,139.700001,208
13104,東戸山小学校,東京都新宿区戸山2-34-2,一時避難所、避難所,-1,-1,0,0,0,0,0,1,1,,35.702539,139.71152,209
13104,柏木小学校,東京都新宿区北新宿2-11-1,一時避難所,-1,-1,0,0,0,0,0,1,1,,35.700511,139.6893,211
13104,富久小学校,東京都新宿区富久町7-24,一時避難所、避難所,-1,-1,0,0,0,0,0,1,1,,35.6923353932,139.716496335,212
13104,余丁町小学校,東京都新宿区若松町13-1,一時避難所、避難所,-1,-1,0,0,0,0,0,1,1,,35.699241,139.715813,218
13104,淀橋第四小学校,東京都新宿区北新宿3-17-1,一時避難所、避難所,-1,-1,0,0,0,0,0,1,1,,35.704094,139.691105,220
13104,落合第一小学校,東京都新宿区中落合2-13-27,一時避難所、避難所,-1,-1,0,0,0,0,0,1,1,,35.719537,139.691521,222
13104,落合第五小学校,東京都新宿区上落合3-1-6,一時避難所、避難所,-1,-1,0,0,0,0,0,1,1,,35.714648,139.685744,223
13104,落合第三小学校,東京都新宿区西落合1-12-20,一時避難所,-1,-1,0,0,0,0,0,1,1,,35.720758,139.68255,225
13104,落合第四小学校,東京都新宿区下落合2-9-34,一時避難所,-1,-1,0,0,0,0,0,1,1,,35.7183287492,139.700157217,227
13104,落合第二小学校,東京都新宿区上落合2-10-23,避難所、一時避難所,-1,-1,0,0,0,0,0,1,1,,35.712954,139.689188,229
13104,落合第二中学校,東京都新宿区西落合1-6-5,一時避難所、避難所,-1,-1,0,0,0,0,0,1,1,,35.721453,139.684438,230
13104,落合第六小学校,東京都新宿区西落合4-11-21,一時避難所、避難所,-1,-1,0,0,0,0,0,1,1,,35.727285,139.678522,231
13104,落合中学校,東京都新宿区下落合2-24-6,一時避難所、避難所,-1,-1,0,0,0,0,0,1,1,,35.718787,139.700243,232
13114,旧沼袋小学校,東京都中野区沼袋3-13-2,避難所,2800,-1,0,0,0,0,0,1,1,,35.717536,139.659691,1155
13114,旧第六中学校,東京都中野区野方3-6-17,避難所,3100,-1,0,0,0,0,0,1,1,,35.717703,139.656885,1156
13114,旧中野富士見中学校,東京都中野区野方3-6-17,避難所,3100,-1,0,0,0,0,0,1,1,,35.687845,139.667941,1157
13114,旧東中野小学校,東京都中野区東中野5-27-8,避難所,2900,-1,0,0,0,0,0,1,1,,35.710315,139.690549,1158
13114,旧桃丘小学校,東京都中野区中野3-40-23,避難所,4400,-1,0,0,0,0,0,1,1,,35.70526,139.663274,1159
13114,啓明小学校,東京都中野区大和町1-18-1,避難所,3500,-1,0,0,0,0,0,1,1,,35.713425,139.65258,1160
13114,向台小学校,東京都中野区弥生町1-25-1,避難所,3200,-1,0,0,0,0,0,1,1,,35.692095,139.679662,1161
13114,江原小学校,東京都中野区江原町1-39-1,避難所,3800,-1,0,0,0,0,0,1,1,,35.729591,139.673467,1162
13114,江古田小学校,東京都中野区江古田2-13-28,避難所,3800,-1,0,0,0,0,0,1,1,,35.726035,139.666579,1163
13114,鷺宮小学校,東京都中野区鷺宮3-31-4,避難所,2900,-1,0,0,0,0,0,1,1,,35.725007,139.639581,1164
13114,鷺宮体育館,東京都中野区白鷺3-1-13,避難所,2900,-1,0,0,0,0,0,1,1,,35.722513,139.636418,1165
13114,若宮小学校,東京都中野区若宮3-53-16,避難所,3300,-1,0,0,0,0,0,1,1,,35.719174,139.641053,1166
13114,上高田小学校,東京都中野区上高田5-35-3,避難所,3700,-1,0,0,0,0,0,1,1,,35.717064,139.674467,1167
13114,上鷺宮小学校,東京都中野区上鷺宮1-24-36,避難所,3400,-1,0,0,0,0,0,1,1,,35.731506,139.635137,1168
13114,新井小学校,東京都中野区新井4-19-1,避難所,3500,-1,0,0,0,0,0,1,1,,35.71737,139.668218,1169
13114,新山小学校,東京都中野区南台4-4-1,避難所,3200,-1,0,0,0,0,0,1,1,,35.681735,139.668164,1170
13114,新渡戸文化学園,東京都中野区本町6-38-1,避難所,9100,-1,0,0,0,0,0,1,3,,35.6963439991,139.661497,1171
13114,西中野小学校,東京都中野区白鷺3-9-2,避難所,3000,-1,0,0,0,0,0,1,1,,35.720785,139.631221,1172
13114,多田小学校,東京都中野区南台3-44-9,避難所,3700,-1,0,0,0,0,0,1,1,,35.684207,139.664303,1173
13114,大妻中野中・高等学校,東京都中野区上高田2-3-7,避難所,2500,-1,0,0,0,0,0,1,1,,35.710509,139.671634,1174
13114,大和小学校,東京都中野区大和町4-26-5,避難所,3800,-1,0,0,0,0,0,1,1,,35.71448,139.645109,1175
13114,第九中学校,東京都中野区中野1-57-12,避難所,3500,-1,0,0,0,0,0,1,1,,35.703677,139.672107,1176
13114,第五中学校,東京都中野区上高田4-28-1,避難所,4500,-1,0,0,0,0,0,1,1,,35.715342,139.678439,1177
13114,第三中学校,東京都中野区東中野5-12-1,避難所,4500,-1,0,0,0,0,0,1,1,,35.708149,139.688772,1178
13114,第四中学校,東京都中野区若宮1-1-18,避難所,4200,-1,0,0,0,0,0,1,1,,35.716175,139.649858,1179
13114,第七中学校,東京都中野区江古田2-9-11,避難所,4400,-1,0,0,0,0,0,1,1,,35.724674,139.668051,1180
13114,第十中学校,東京都中野区中央1-41-1,避難所,4000,-1,0,0,0,0,0,1,1,,35.698622,139.683801,1181
13114,第二中学校,東京都中野区本町5-25-1,避難所,6400,-1,0,0,0,0,0,1,1,,35.69265,139.671135,1182
13114,第八中学校,東京都中野区鷺宮4-7-3,避難所,3600,-1,0,0,0,0,0,1,1,,35.724118,139.63597,1183
13114,谷戸小学校,東京都中野区中野1-26-1,避難所,2900,-1,0,0,0,0,0,1,1,,35.702455,139.677051,1184
13114,中央中学校,東京都中野区中野4-12-7,避難所,3700,-1,0,0,0,0,0,1,1,,35.709676,139.661358,1185
13114,中部すこやか福祉センター,東京都中野区中央3-19-1,避難所,2800,-1,0,0,0,0,0,1,3,,35.700316,139.674218,1186
13114,中野神明小学校,東京都中野区弥生町4-27-29,避難所,3900,-1,0,0,0,0,0,1,1,,35.687373,139.669997,1187
13114,中野本郷小学校,東京都中野区本町4-27-3,避難所,3200,-1,0,0,0,0,0,1,1,,35.695122,139.670357,1188
13114,都立鷺宮高等学校,東京都中野区若宮3-46-8,避難所,7400,-1,0,0,0,0,0,1,1,,35.720091,139.643775,1189
13114,塔山小学校,東京都中野区中央1-49-1,避難所,3600,-1,0,0,0,0,0,1,1,,35.700816,139.683606,1190
13114,東京大学教育学部附属中等教育学校,東京都中野区南台1-15-1,避難所,6600,-1,0,0,0,0,0,1,1,,35.685743,139.673825,1191
13114,桃園小学校,東京都中野区本町3-16-1,避難所,3800,-1,0,0,0,0,0,1,1,,35.696011,139.677384,1192
13114,桃園第二小学校,東京都中野区中野6-13-1,避難所,3500,-1,0,0,0,0,0,1,1,,35.707676,139.675967,1193
13114,桃花小学校,東京都中野区中央5-43-1,避難所,4100,-1,0,0,0,0,0,1,3,,35.700455,139.665802,1194
13114,南中野中学校,東京都中野区南台5-22-17,避難所,3700,-1,0,0,0,0,0,1,3,,35.68254,139.662442,1195
13114,白桜小学校,東京都中野区上高田1-2-28,避難所,3200,-1,0,0,0,0,0,1,3,,35.7100029991,139.679146,1196
13114,武蔵台小学校,東京都中野区上鷺宮5-1-1,避難所,3300,-1,0,0,0,0,0,1,1,,35.72809,139.629748,1197
13114,平和の森小学校,東京都中野区新井3-29-1,避難所,3400,-1,0,0,0,0,0,1,3,,35.7147029991,139.659719,1198
13114,宝仙学園,東京都中野区中央2-28-3,避難所,10800,-1,0,0,0,0,0,1,1,,35.699039,139.680579,1199
13114,北原小学校,東京都中野区野方6-30-6,避難所,2600,-1,0,0,0,0,0,1,1,,35.721063,139.651441,1200
13114,北中野中学校,東京都中野区上鷺宮5-7-1,避難所,4000,-1,0,0,0,0,0,1,1,,35.72834,139.628665,1201
13114,明治大学付属中野中・高等学校,東京都中野区東中野3-3-4,避難所,9100,-1,0,0,0,0,0,1,1,,35.706843,139.679578,1202
13114,緑野小学校,東京都中野区丸山1-17-1,避難所,3500,-1,0,0,0,0,0,1,3,,35.7250629991,139.657579,1203
13114,緑野中学校,東京都中野区丸山1-1-19,避難所,3700,-1,0,0,0,0,0,1,3,,35.723785,139.657357,1204
13115,（私）佼成学園,東京都杉並区和田2-6-29,震災救援所補助、代替施設,-1,-1,1,0,0,0,0,0,1,,35.687262,139.65697,1205
13115,（私）光塩女子学園,東京都杉並区高円寺南2-33-28,震災救援所補助、代替施設,-1,-1,1,0,0,0,0,0,1,,35.700399,139.653331,1206
13115,（私）高千穂大学・大学院,東京都杉並区大宮2-19-1,震災救援所補助、代替施設,-1,-1,1,0,0,0,0,0,1,,35.683734,139.637861,1207
13115,（私）国学院大学久我山高校,東京都杉並区久我山1-9-1,震災救援所補助、代替施設,-1,-1,1,0,0,0,0,0,1,,35.683899,139.594309,1208
13115,（私）女子美術短大,東京都杉並区和田1-49-8,震災救援所補助、代替施設,-1,-1,1,0,0,0,0,0,1,,35.6935869991,139.66216,1209
13115,（私）杉並学院,東京都杉並区阿佐谷南2-30-17,震災救援所補助、代替施設,-1,-1,1,0,0,0,0,0,1,,35.70437,139.643082,1210
13115,（私）専修大学附属高校,東京都杉並区和泉4-4-1,震災救援所補助、代替施設,-1,-1,1,0,0,0,0,0,1,,35.677013,139.655415,1211
13115,（私）中央大学杉並高校,東京都杉並区今川2-7-1,震災救援所補助、代替施設,-1,-1,1,0,0,0,0,0,1,,35.7163129991,139.607945,1212
13115,（私）東京女子大学,東京都杉並区善福寺2-6-1,震災救援所補助、代替施設,-1,-1,1,0,0,0,0,0,1,,35.711146,139.590002,1213
13115,（私）東京立正高校,東京都杉並区堀ノ内2-41-15,震災救援所補助、代替施設,-1,-1,1,0,0,0,0,0,1,,35.691455,139.646665,1214
13115,（私）日本大学第二高校,東京都杉並区天沼1-45-33,震災救援所補助、代替施設,-1,-1,1,0,0,0,0,0,3,,35.7102053812,139.628741737,1215
13115,（私）日本大学鶴ヶ丘高校,東京都杉並区和泉2-26-12,震災救援所補助、代替施設,-1,-1,1,0,0,0,0,0,1,,35.6731799991,139.653304,1216
13115,（私）文化女子大学附属杉並高校,東京都杉並区阿佐谷南3-48-16,震災救援所補助、代替施設,-1,-1,1,0,0,0,0,0,1,,35.703926,139.628694,1217
13115,（私）立教女学院,東京都杉並区久我山4-29-23,震災救援所補助、代替施設,-1,-1,1,0,0,0,0,0,1,,35.6933149991,139.588336,1219
13115,コーシャハイム中野弥生町・立正校成会大聖堂一帯,東京都杉並区,避難場所,17700,-1,1,0,0,0,0,0,3,,35.6857474169,139.662013973,1220
13115,セシオン杉並・妙法寺一帯,東京都杉並区,避難場所,25700,-1,1,0,0,0,0,0,3,,35.6968940381,139.653767269,1221
13115,阿佐ヶ谷中震災救援所,東京都杉並区阿佐谷南1-17-3,震災救援所,1434,-1,1,0,0,0,0,0,1,,35.700454,139.636328,1222
13115,阿佐谷第二次救援所,東京都杉並区阿佐谷南1-47-17,第二次救援所,119,-1,1,0,0,0,0,0,3,,35.704012,139.63749,1223
13115,井荻小震災救援所,東京都杉並区善福寺1-10-19,震災救援所,1128,-1,1,0,0,0,0,0,1,,35.711341,139.59628,1225
13115,井荻中震災救援所,東京都杉並区今川2-13-24,震災救援所,1755,-1,1,0,0,0,0,0,1,,35.718257,139.610417,1226
13115,井草森公園一帯,東京都杉並区,避難場所,28100,-1,1,0,0,0,0,0,1,,35.72692,139.61107,1227
13115,井草第二次救援所,東京都杉並区下井草5-7-22,第二次救援所,135,-1,1,0,0,0,0,0,3,,35.720699,139.616525,1228
13115,井草中震災救援所,東京都杉並区上井草3-20-11,震災救援所,1705,-1,1,0,0,0,0,0,1,,35.722117,139.60264,1229
13115,井草八幡宮一帯,東京都杉並区,避難場所,16600,-1,1,0,0,0,0,0,3,,35.716025,139.595327,1230
13115,永福小震災救援所,東京都杉並区永福2-16-33,震災救援所,1192,-1,1,0,0,0,0,0,1,,35.673457,139.639694,1231
13115,永福南小震災救援所,東京都杉並区永福1-7-6,震災救援所,1095,-1,1,0,0,0,0,0,1,,35.669958,139.643527,1232
13115,永福和泉第二次救援所,東京都杉並区和泉3-8-18,第二次救援所,127,-1,1,0,0,0,0,0,3,,35.675295,139.646066,1233
13115,荻窪小震災救援所,東京都杉並区宮前2-13-18,震災救援所,1834,-1,1,0,0,0,0,0,3,,35.694966,139.611976,1234
13115,荻窪第二次救援所,東京都杉並区荻窪2-34-20,第二次救援所,114,-1,1,0,0,0,0,0,3,,35.6985156175,139.618796799,1235
13115,荻窪団地一帯,東京都杉並区,避難場所,15400,-1,1,0,0,0,0,0,3,,35.6971539285,139.626211031,1236
13115,荻窪地域区民センター,東京都杉並区荻窪2-34-20,避難所,-1,-1,0,0,1,0,0,0,1,,35.69858,139.619012,1237
13115,荻窪中震災救援所,東京都杉並区善福寺1-8-3,震災救援所,1259,-1,1,0,0,0,0,0,1,,35.710341,139.596446,1238
13115,久我山小震災救援所,東京都杉並区久我山5-18-7,震災救援所,1280,-1,1,0,0,0,0,0,1,,35.686316,139.606141,1239
13115,久我山二丁目地区グランド一帯,東京都杉並区,避難場所,48200,-1,1,0,0,0,0,0,3,,35.6827970117,139.604108,1240
13115,宮前中震災救援所,東京都杉並区宮前2-12-1,震災救援所,1563,-1,1,0,0,0,0,0,1,,35.693343,139.610585,1241
13115,旧若杉小学校,東京都杉並区天沼3-15-20,震災救援所補助、代替施設,-1,-1,1,0,0,0,0,0,1,,35.708758,139.6185,1242
13115,沓掛小震災救援所,東京都杉並区清水3-1-9,震災救援所,1475,-1,1,0,0,0,0,0,1,,35.716118,139.620916,1243
13115,公社鷺宮西住宅一帯,東京都中野区,避難場所,3800,-1,1,0,0,0,0,0,3,,35.7215522676,139.634457539,1244
13115,向陽中震災救援所,東京都杉並区下高井戸3-24-1,震災救援所,1448,-1,1,0,0,0,0,0,1,,35.672485,139.634861,1245
13115,高井戸小震災救援所,東京都杉並区高井戸西2-2-1,震災救援所,1794,-1,1,0,0,0,0,0,1,,35.684261,139.614668,1246
13115,高井戸第二次救援所,東京都杉並区高井戸東3-7-5,第二次救援所,318,-1,1,0,0,0,0,0,3,,35.6836199991,139.616599,1247
13115,高井戸中震災救援所,東京都杉並区高井戸東1-28-1,震災救援所,1649,-1,1,0,0,0,0,0,1,,35.6814,139.62264,1248
13115,高井戸東小震災救援所,東京都杉並区高井戸東1-12-1,震災救援所,1321,-1,1,0,0,0,0,0,1,,35.680261,139.619446,1249
13115,高円寺第二次救援所,東京都杉並区梅里1-22-32,第二次救援所,219,-1,1,0,0,0,0,0,3,,35.697036,139.653945,1250
13115,高円寺中震災救援所,東京都杉並区高円寺北1-4-11,震災救援所,1283,-1,1,0,0,0,0,0,1,,35.706787,139.655219,1251
13115,高三小震災救援所,東京都杉並区下高井戸4-16-24,震災救援所,1275,-1,1,0,0,0,0,0,1,,35.67204,139.631,1252
13115,高四小震災救援所,東京都杉並区西荻南1-8-16,震災救援所,1088,-1,1,0,0,0,0,0,1,,35.698287,139.602335,1253
13115,高南中震災救援所,東京都杉並区和田3-40-10,震災救援所,1191,-1,1,0,0,0,0,0,1,,35.695594,139.657997,1254
13115,高二小震災救援所,東京都杉並区久我山4-49-1,震災救援所,1389,-1,1,0,0,0,0,0,1,,35.691871,139.599308,1255
13115,済美小震災救援所,東京都杉並区堀ノ内1-17-24,震災救援所,1247,-1,1,0,0,0,0,0,1,,35.685762,139.649665,1256
13115,済美養護学校第二次救援所,東京都杉並区堀ノ内1-19-25,第二次救援所,240,-1,1,0,0,0,0,0,1,,35.685873,139.650526,1257
13115,三谷小震災救援所,東京都杉並区上井草3-14-12,震災救援所,1234,-1,1,0,0,0,0,0,1,,35.72034,139.602362,1258
13115,蚕糸の森公園一帯,東京都杉並区,避難場所,12700,-1,1,0,0,0,0,0,3,,35.697088,139.656057,1259
13115,四宮小震災救援所,東京都杉並区上井草2-12-26,震災救援所,1499,-1,1,0,0,0,0,0,1,,35.72159,139.610028,1260
13115,松ノ木小震災救援所,東京都杉並区松ノ木1-2-26,震災救援所,979,-1,1,0,0,0,0,0,1,,35.687539,139.64286,1261
13115,松ノ木中震災救援所,東京都杉並区松ノ木1-4-1,震災救援所,1202,-1,1,0,0,0,0,0,1,,35.686817,139.640971,1262
13115,松庵小震災救援所,東京都杉並区松庵2-3-24,震災救援所,1247,-1,1,0,0,0,0,0,1,,35.700147,139.59303,1263
13115,松渓中震災救援所,東京都杉並区荻窪2-3-1,震災救援所,1340,-1,1,0,0,0,0,0,1,,35.696315,139.622334,1264
13115,上井草スポーツセンター一帯,東京都杉並区,避難場所,41100,-1,1,0,0,0,0,0,3,,35.722942648,139.601513324,1265
13115,新泉小震災救援所,東京都杉並区和泉1-44-26,震災救援所,889,-1,1,0,0,0,0,0,1,,35.675957,139.656054,1266
13115,神明中震災救援所,東京都杉並区南荻窪2-37-28,震災救援所,1123,-1,1,0,0,0,0,0,1,,35.700425,139.610084,1267
13115,杉一小震災救援所,東京都杉並区阿佐谷北1-5-27,震災救援所,1005,-1,1,0,0,0,0,0,1,,35.70637,139.636999,1268
13115,杉九小震災救援所,東京都杉並区本天沼1-2-19,震災救援所,1307,-1,1,0,0,0,0,0,1,,35.713536,139.633332,1269
13115,杉三小震災救援所,東京都杉並区高円寺南1-15-13,震災救援所,1189,-1,1,0,0,0,0,0,1,,35.699455,139.656636,1270
13115,杉四小震災救援所,東京都杉並区高円寺北2-14-13,震災救援所,1113,-1,1,0,0,0,0,0,1,,35.706954,139.653581,1271
13115,杉七小震災救援所,東京都杉並区阿佐谷南3-19-2,震災救援所,1133,-1,1,0,0,0,0,0,1,,35.70287,139.63136,1272
13115,杉十小震災救援所,東京都杉並区和田3-55-49,震災救援所,1420,-1,1,0,0,0,0,0,1,,35.697066,139.65747,1273
13115,杉森中震災救援所,東京都杉並区阿佐谷北5-45-24,震災救援所,1312,-1,1,0,0,0,0,0,1,,35.711651,139.641405,1274
13115,杉二小震災救援所,東京都杉並区成田西3-4-1,震災救援所,1411,-1,1,0,0,0,0,0,1,,35.692908658,139.632255942,1275
13115,杉八小震災救援所,東京都杉並区高円寺南2-40-24,震災救援所,941,-1,1,0,0,0,0,0,1,,35.701232,139.651303,1276
13115,杉並会館,東京都杉並区上荻3-29-5,避難所,-1,-1,0,0,1,0,0,0,1,,35.710461,139.607793,1277
13115,杉並第二小学校,東京都杉並区成田西3-4-1,避難所,-1,-1,0,0,1,0,0,0,1,,35.69301,139.63225,1278
13115,杉六小震災救援所,東京都杉並区阿佐谷南1-24-21,震災救援所,1140,-1,1,0,0,0,0,0,1,,35.701565,139.643387,1279
13115,西荻第二次救援所,東京都杉並区桃井4-3-2,第二次救援所,188,-1,1,0,0,0,0,0,3,,35.712641,139.602232,1280
13115,西宮中震災救援所,東京都杉並区宮前5-1-25,震災救援所,1282,-1,1,0,0,0,0,0,1,,35.692621,139.601641,1281
